Number of nodes 838 
   482 :  1.2379400e-02  3.0552013e-02 
   483 :  1.6261663e-02  3.5666900e-02 
   484 :  1.0524573e-02  3.3481816e-02 
   485 :  1.2335379e-02  3.7463407e-02 
   486 :  1.5115387e-02  3.1328120e-02 
   487 :  9.8660299e-03  3.0645718e-02 
   488 :  1.8265623e-02  3.9874024e-02 
   489 :  1.3696265e-02  3.4023851e-02 
   490 :  1.4316987e-02  2.8695171e-02 
   491 :  1.2477981e-02  4.2113714e-02 
   492 : -1.2379400e-02  3.0552013e-02 
   493 : -1.6723847e-02  3.5258935e-02 
   494 : -1.0439260e-02  3.3353052e-02 
   495 : -1.1055798e-02  3.7391239e-02 
   496 : -1.5115387e-02  3.1328120e-02 
   497 : -9.8015131e-03  3.0611976e-02 
   498 : -1.7811441e-02  3.9819308e-02 
   499 : -1.2427672e-02  4.1715434e-02 
   500 : -1.3432293e-02  3.4319625e-02 
   501 : -1.4316987e-02  2.8695171e-02 
   502 : -1.4277731e-02  3.7999006e-02 
   503 : -3.5171599e-02  1.6091664e-02 
   504 : -2.7337791e-02  1.7469602e-02 
   505 : -3.1209706e-02  2.2344847e-02 
   506 : -3.0565223e-02  1.1980681e-02 
   507 : -2.5658186e-02  2.0479919e-02 
   508 : -3.9725185e-02  1.9926334e-02 
   509 : -3.5918701e-02  2.4317357e-02 
   510 : -4.1288174e-02  2.5964616e-02 
   511 : -2.9084643e-02  1.4858907e-02 
   512 : -3.0966443e-02  1.7868468e-02 
   513 : -3.4855941e-02  2.0124087e-02 
   514 : -2.8429125e-02  2.0544904e-02 
   515 : -3.2280062e-02  1.4378364e-02 
   516 : -5.3678880e-02  5.6749589e-03 
   517 : -3.1754099e-02  4.3649795e-02 
   518 : -5.1194280e-02  1.5231686e-02 
   519 : -3.8226279e-02  3.7605865e-02 
   520 : -4.7837124e-02  2.3335443e-02 
   521 : -2.0269119e-02  2.5996882e-02 
   522 : -2.2173210e-02  3.2112744e-02 
   523 : -2.3664961e-02  2.5717190e-02 
   524 : -2.6853864e-02  2.8270221e-02 
   525 : -1.9573254e-02  2.8754369e-02 
   526 : -2.1609992e-02  2.3794347e-02 
   527 : -2.5578812e-02  3.5334814e-02 
   528 : -2.9912789e-02  3.1620396e-02 
   529 : -2.3005521e-02  2.8792520e-02 
   530 : -1.7692253e-02  2.6746460e-02 
   531 : -2.5769239e-02  3.1364380e-02 
   532 : -3.2648520e-02  4.5551315e-03 
   533 : -3.8897057e-02  3.1461912e-03 
   534 : -3.4104220e-02  7.6358621e-03 
   535 : -3.7909662e-02  9.1210181e-03 
   536 : -3.4688642e-02  2.5737506e-03 
   537 : -3.1411505e-02  6.8176285e-03 
   538 : -4.3390253e-02  4.4844940e-03 
   539 : -4.2340461e-02  1.0095037e-02 
   540 : -3.6437814e-02  5.5271058e-03 
   541 : -3.2009241e-02  1.9487109e-03 
   542 : -4.0046970e-02  6.6346254e-03 
   543 : -3.1521589e-02 -2.2413666e-02 
   544 : -2.8798014e-02 -1.4940421e-02 
   545 : -3.4956058e-02 -1.5855975e-02 
   546 : -2.5658186e-02 -2.0479919e-02 
   547 : -3.0565223e-02 -1.1980681e-02 
   548 : -3.7119304e-02 -2.4439852e-02 
   549 : -3.9018800e-02 -1.8947829e-02 
   550 : -4.3130104e-02 -2.2774300e-02 
   551 : -2.7410512e-02 -1.7758586e-02 
   552 : -3.0957768e-02 -1.7883492e-02 
   553 : -3.4855941e-02 -2.0124087e-02 
   554 : -3.2006971e-02 -1.4347892e-02 
   555 : -2.8592059e-02 -2.0766172e-02 
   556 : -3.1754099e-02 -4.3649795e-02 
   557 : -5.3678880e-02 -5.6749589e-03 
   558 : -3.8788167e-02 -3.6719704e-02 
   559 : -5.1680774e-02 -1.4301996e-02 
   560 : -4.4127648e-02 -2.9760443e-02 
   561 : -3.2648520e-02 -4.5551314e-03 
   562 : -3.8897057e-02 -3.1461912e-03 
   563 : -3.4104220e-02 -7.6358621e-03 
   564 : -3.7909662e-02 -9.1210181e-03 
   565 : -3.4688642e-02 -2.5737506e-03 
   566 : -3.1411505e-02 -6.8176285e-03 
   567 : -4.3390253e-02 -4.4844940e-03 
   568 : -4.2340461e-02 -1.0095037e-02 
   569 : -3.6437814e-02 -5.5271058e-03 
   570 : -3.2009241e-02 -1.9487109e-03 
